BGM,会話
こぼれ落ちちゃったんだ、私たち,"懐かしい 見たい 見たい あできた本当だ
 楽しかったよね 何も悩みとかなくてさ この4人のグループが一番好きだった 私も平和だったよね わかる 報告
はいつも何を頑張っていたのか みんなと同じ感情になれないのは怖い
誰と一緒にいても私の感情だけはいつも一人だった"
学校嫌いです。,"廃墟に気配りを勉強ができるとかお金持ってるとかそんなの大して 大事じゃねえんだ
 って知ってるって お疲れ様
 お疲れ様です ありがとうございましたスマホ
 佐藤さんってさ シフト すぐ変わってくれるとほんとほんとほんとほんとほんとこの前なんてさ
 1時間前なのに代わってくれて暇なんだねちゃんとあのイラストとか褒めて 夢を追いかけてんのかっこいいっすね みたいな 褒めるとめっちゃ
 働いてくれるからとりあえず褒めとくわああいう人って害ないしないい人っていうか調子がいい人
 それだ やっぱスマホスマホスマホスマホスマホスマホあ これすか それだ ありがとう
 佐藤さん インスタ 見ました めっちゃうまいですね ありがとう今度 似顔絵書くよ"
友だちならよかった,"今見ても感動するてお
おかえり 帰れ 母さん兄ちゃん おかえりただいま
 父さんは 配達中 新居はどう仲良くやってるあれ 今日だっけ
 明日だっけ 届け出しに行くって言ってたの そっか 届け出すまで また よかったのか
 結婚祝いの花 いらないからね 遠慮しないでよ 遠慮してないよ
 結婚もしないしね
 ごめん 仕事 あ もしもし 社会の闇を擬人化したら兄ちゃんになるよね
 都合いい人認定されちゃってんだろうな 会社でも プレイベートでも"
いちばんすきな花-4人のひとりたち-," よよちゃん大丈夫だよ大丈夫かどうか決めるのこっち なんで友達からでいいよ 友達
 友達で友達からで隠したみたいな言い方されるんだろう
 恋人の方が上で友達がしたみたいな友達の方が作るの簡単だからじゃん
 え"
一人で大丈夫にならなきゃ,"自分を大事にした方がいい 内側から愛される人にならないと
 ゆうじさん この子ね 顔がいいだけだよ
 ごめんなさい あの紅葉です
 名前です みゆき いよいよです 認めまして 佐藤 もみじです
 二度めまして"
小さな花束,"二人 気まずいですね
 実は忘れ物あるんですし あの家にですか 忘れ物するなって言われた
 私までじゃなくて 椿さん なんです 椿さん あのお兄さん
 忘れ物 忘れ物
 学校がいらないっていう何よりも 証明 だよね 勉強に関してはね 勉強だけしてればいいなら行くのに"23:16:31
うつむき加減,"得意な教科は数学です 私も
 数学
 忘れ物を届けに来ました 忘れ物 忘れ物です 白いものですよね
 忘れ物です ゴミ箱からの拾い物ですよね
 美容院の忘れ物です 彼は何で公園であって名前聞いて ブランコ乗って2人 気まずいですね ってなって
2人じゃなくなるには
 3人になればいいと思いましてはじめまして では2度目 始めまして 3度目"
学校嫌いです。,"ハンガー 使ってください ありがとうございます
 でも本当よく来ましたね あの 変な感じになったのに変な感じでしたけど喋りやすかったからわかります
 直後はトラウマ 掘り返された感じで きつかったけど後になってから 言葉にできるんだなって じわじわ 思えて
わかりますすみません すいません 家 正直一人で暇してたんで
 まだ有給消化中ですか どっか旅行とか行かないんですか 引っ越しのためにとった 休みなんで"
友だちならよかった,"どうした 別にデートの誘いでもあった 誘い っていうか
 呼び出し 大人になっても 呼び出したのね 怖いね 怖い もう来るなって言われてるところに
呼び出されるって何なんですかね やっぱり 怒ってるって事ですよね
 怒ってるんだ 謝罪 なにか謝罪の品 誰
 お友達 やっちゃいました また私だけ思ってること違ってた"
小さな花束,"食べましょう もれなく 全部美味しいんでこれなごり雪
 です パーティーか何か 友達の結婚式の帰りで諸事情で家に帰れず そのまま結婚式
あ嘘です 私服です 普段着です 行方 ちゃんは なんで 新潟 帰ってたの 私は
 同窓会で ですよね 私も同窓会 苦手です 苦手なのに参加したんですか 自分から傷つきに行くことないの
に行かなくても他人の感情を勝手に想像して勝手に傷つくからどっちみち 傷つくんです
 想像で"
二人というのは難しい。,"ちゃんと悔しいって気持ちだけで泣けてるかな 恥ずかしいって気持ちに邪魔されてないかな
 って自分が期待されて負けたことで
 みんなが感動してるってどれだけ辛いだろうっ
 みんなと同じ気持ちになれないって怖いんですよ悪いこと みたいに思えちゃうんです
 昔からそうでした 他人の感情を勝手に想像して勝手に心配したり
 辛くなったり 博多だけでした そういう気を使わないで2人でいられる 友達 気を使わなくていい人
 気を使わなくていい人でした いいですよね 気を使わなくていい人 欲しい しなりたいです
は頭がいい人ってやつだけ よく言われて それは普通に褒め言葉だと思いますけど頭がいいとしか狙えるところがなかったんです
 役割っていうか 居場所
 勉強って頑張るとちゃんと結果が出るから
そこだよ 席 行方 ちゃんの席
 同じもの 見たからってみんな同じ感情になってたら気持ち悪いですよ どこに気持ちが向くかなんて人それぞれだし
行っちゃダメなことはたくさんあるけどおもちゃダメなことはないです"
いちばんすきな花-4人のひとりたち-,"あバス
 ヒール履いてる時に限って走ることにねなりがち 今日2回目の
 ダッシュです こう見えて グループからハブられないように 必死だったんです どう見えてるかわかんないけどそっか
 交換ノート 回ってきた日の夜にいっぱい書いて翌日には
 次の子に渡してでもみんな思ってたんですって よ よがすぐノート 回す
 の圧力だなーって圧力 私 グループの中心的な感じだったんですよ 自覚も希望もしてなかったけど
 嫌われたくなかっただけなんですけどね
 男の子にも こういうのあったのかな 交換 ノート的なのですか 仲良し 儀式的な 今度
あの二人に聞いてみますか 聞いてみようかなんか2人とも別角度で強いトラブル
 ありがとう
 片付けこれ忘れてきますね 忘れ物です
 分かったいいんですか じゃあ 忘れ物取りにまた来ます あの二人
 誘ってきます お邪魔しました 気をつけて"
……二人組になれなかった4人……,"椿君新聞係の仕事はどうすっごい楽しい子供の頃の僕は
とにかく よくしゃべるし 落ち着きがない しじっと座ってられない子だった
 椿君はとても活発でおしゃべりで個性的なお子さんです ありがとうございます 落ち着きも 協調性もないという意味です
 ごめんなさいお家ではどんな様子ですか ごめんなさい いい子にしてて 僕はいい子じゃなかった
 なんで先生 なんでだめなのちょっとの時間座って静かにしてられるかな
 学年が上がると自然と個性的 を隠せるようになった
 返事と相槌しかできなくなった親や先生はまた心配をした 今度は友達に会わせるだけの 一人で何もできない僕を心配した あれくん 宿題 集めて
 職員室に持ってきてもらえわかりました 椿 その前に宿題見せて 分かった一人で大丈夫にならなきゃ
 はいこれ イントロに乗せる書類 ねわかりました 大丈夫です 16時からの会議 セッティング よろしくね わかりました
 いい子じゃないけど個性的だった僕は 無個性のいい人になった
 それはいいことなんだろうか
 好きな人との人間関係は 2パターンで好かれる努力をするか 嫌われない配慮をするか のどちらかしかない
 ありがとう これで 多分全部ごめん すみれのもの こっちから連絡したり送ったりすればよかった ごめん
急に来てごめんね 帰るね
 ごめん以外 言いたいことないの
 駅まで送るかこれ返すね
 一人で帰るね バイバイ"
学校嫌いです。,"お疲れ様でした
 ゆかりちゃん お客さんだよ どっちが寒いですか ご関係は
 って聞いたらなんかもうもうしてた綺麗なお姉さんなんかね 目がくりくりとしてて縛り 筋みたいな感じだね塾って書いてあったから 職場
 かなってすみません 急に来てありがとう わざわざ
 交換してなかったね はいどこだっけ QR"
【オクサマ】 と書いたアイスの棒,"止め方じゃなくなって 解き方 考えようよ ドラえもんが見せて
 じゃあ 点 P って A から1秒で1センチずつ進むでしょ
 え お帰りなさい ただいま え 待ってたんですか いつから
全然です3分前とかでしょ 早食いなのかな
 なんかごめんね 昨日からまた出勤で来る前に連絡くれれば
交換してないですね"
しょうもないけど、好きだから,"え 弟と紅葉くんはあってないですよ 紅葉くんが来てるって言ってないです いやだから察したんです 2人が一緒にいることなんてお見通しです
 秋冬が2つありますね 進めます 誰が何で 素敵なお家ですよね ありがとうございます 戸建て 憧れです ありがとうございます
 アイランドキッチンっていいですよね 料理しないけど わかります 大きい 食洗機とか料理嫌いだけどキッチン はすみれが気に入って
一緒に住む予定だった人です 料理が好きで 綺麗好きで ごめんなさい"
小さな花束,"何それ 好きっていう パッケージに満足してるだけみたいな
 覚えてないんだよそれで言えば片想いですらなかった それぞれ
 身勝手に好きだっただけでむしろ好きって 後付けで結婚相手にちょうどいいから好きってことにして珍しく いっぱい喋る時って
 意味わかんないことばっか言うよね
 意味わかんないことばっか考えてて普段それを話す相手がいないから毎回
 病院変えて初対面の美容師さんに話し聞いてもらったりタバコ吸わないのに知らないおじさんと喫煙として喋ったりそうやって発散してすみれには 意味わかんないこと 言っちゃわないように気をつけて
 隠して 意味わかんないな
 すみれには嫌われない配慮をずっとしてて好かれる努力はできなかった やっぱよくわかんないや
 ごめん"
好きな人の、一番好きな花,"わかりました
 結婚するの森中くんとしないよ 付き合ってもないよ
 もともとは本当に友達でも1回 そういう関係になっちゃってそういうのあるのに
 椿君と結婚できないなって思ってって言ったじゃん 言われてないな 言ってなかったか言ってなかったとしてもそうなの そうなんだ
 うん つばきくんには嘘つきたくないし そっか
 私が言っちゃだめなのわかってるけど 結果 良かった 結婚しちゃわないで良かった 一生 椿くんの感情を奪うとこだった
すみれ 本当に恋に純粋だったね 純粋すぎるのも 人を傷つけるんだね
恋愛で全員幸せになるなんて不可能ですよね 2人組 だもん 誰が始めた え 俺じゃない アダム トイプ
 あいつらか 友達なの あ 聞きそびれたあの人たち 誰
 友達 そっかだよね なんか良かった 楽しく喋れる相手 気使わない
相手いるみたいで椿君の友達の話 全然聞いたことなかったもんね
 傷み始めてるかな 多分明日には枯れる 明日には枯れる ごめんありがとう もらうね
 今日だけ見てる
 今日だけ明日からはまた
 お互い
 切り替えて明日からまた お邪魔しました "
学校嫌いです。,"清純派女優っているでしょ 何を根拠に名乗ってんのか知らないですけどあなた達 すみれほどですか って思う
 すみれ 花のすみれの花言葉 知ってます 謙虚です 親御さんのネーミングセンスに脱帽です
 無邪気な恋とか ありますね ぴったりな名前です 慎ましい喜び
 希望 べったりです てか 椿さん めちゃくちゃ 喋りますね 基本的にはすごい しゃべりたいタイプなんで 私は二度目がない
 初対面だと思われてた 初対面だったのでその時 弾くほど喋られました 美容院 な 言ってたんですね 花は好きだけど 花屋は嫌い
 教室みたいだから嫌いって 花屋 嫌いなんですか
 花屋の息子なのに花屋が嫌いっていうのはそう思い込もうとしてるやつで花が好きだからです 好きなこと 仕事にするのって覚悟が必要じゃないですか もうそうですよね 仕事 にしちゃうと
 好きなことでも嫌になることはあるし 数学が嫌いになることあります 数学はいついかなる時も好きです 生意気な生徒とか安い給料とか長い残業が嫌になるだけで"
うつむき加減,"そのソファは気を付けてくださいね 満腹だと死んだように寝れるやつ なんでなんか居心地いいんだよね
 この家わかる前に住んでたのも知ってる人だったからかな そうなんですかその人に会いに来たのに もう引っ越しちゃってて
代わりに 椿さんがいて何だろう 住みたいとかじゃなくて通いたいくらい
 家で寝たい しちょっと複雑なんですけど しっくりくる表現 見つけちゃいました なになにあ でもちょっと失礼かもしれないです
 僕の家 なんですけど 部室です 約束 しなくても誰かしらいる安心感があって
 でも一人ならそれはそれでラッキー サボってるのにサボってない感じ も出せる教室は選べないけど部活は選べる 確かにちょっと失礼だね 部室臭いしね
 部室 臭くない 部活って絶対弱いですよね
椿さんちはお花の匂いがする物質です 正解の反応がわかんないです
 喜んでください 褒めてます 部室 みたく 各々 好きなタイミングで出入りしようとしてます
 住み続ける予定ではいるんですか この広さ だし お一人じゃ
 引っ越しちゃうのかなって勝手に思っちゃったんですけど考えてはいます引っ越し ですよね

 考えてるうちは ここに住んでます 考えている最中に引っ越すことはないです
 廃部になりません
 来る時はあらかじめ 連絡くださいね 仕事もあるしね 常識の範囲内で春木家のルールにのっとってね
 鼻から積むのがどうしても嫌みたいでりんちゃん
 多分明日とか明後日だよ 準備は 友達来てんならあげるんじゃない いやいや 友達の子さん あげないでしょ 明日借りる 花 なんか 20分だよそうだった
 うちの子 昔から いい子だった
 この子家で寝たいって言ってましたよね 深夜もバイトしてるから 多分徐行して寝てないんじゃないかな ほら あれだから おにぎりとかそっか
 その子はこの子は気づかれしたんですよ まだ心 開ききってないから 多分 すごく気にしい だから
 心開いてない人の家で寝るかな確かにコーヒー飲みます 飲みます"
いちばんすきな花,"寝てないです 寝てたよ あれ ゆきえちゃん 帰っちゃいました ベランダで電話してます 友達からって
 遅くなるかもしれないから 2人 起きたら 先帰っててってお友達 男ですか 友達としか
二人とも 嫉妬って顔してるよ 室内です 私はないよ
 当分一人だと思う今 ううん
 家じゃなくて友達の家 あれだね 大人になってました 友達ってできるもんだね
 電車だから送ってってくれないんですか 送ってほしいと思ってないでしょ 思ってないです 行ったら家までついてくるか試しました
 じゃあ また 気をつけてね 気を付け慣れてます"
